psfMag_r	fiberMag_r	fiber2Mag_r	petroMag_r	deVMag_r	expMag_r	modelMag_r	cModelMag_r	class
18.76075	18.58917	19.24143	17.26438	17.05709	17.41168	17.05711	17.10613	b'GALAXY'
18.59927	18.61064	19.20136	17.585	17.65353	17.96921	17.65353	17.65353	b'GALAXY'
21.74308	21.64975	22.15457	21.86314	21.74537	21.74529	21.74531	21.74529	b'GALAXY'
20.21693	20.14988	20.75402	19.15335	19.14737	19.5174	19.14736	19.14737	b'GALAXY'
18.28146	18.11816	18.74704	17.00685	16.95644	17.31951	16.95643	16.95644	b'GALAXY'
18.95138	18.83508	19.4552	17.81333	17.71432	18.03906	17.71429	17.71432	b'GALAXY'
19.19221	18.90804	19.592	17.53778	17.21902	17.6065	17.6065	17.40721	b'GALAXY'
19.46608	19.08451	19.80671	17.1902	16.67193	17.20662	17.20665	17.06691	b'GALAXY'
19.30481	19.10643	19.76225	17.67318	17.43592	17.85286	17.43587	17.46733	b'GALAXY'
21.75741	21.87264	22.42662	21.27816	21.32936	21.48339	21.3293	21.32936	b'GALAXY'
22.34977	21.96585	22.71909	20.72108	20.32745	20.81799	20.81799	20.7007	b'GALAXY'
21.70228	21.60871	22.22721	20.47415	20.4162	20.79325	20.41636	20.4162	b'GALAXY'
20.4362	20.3474	20.92809	19.49719	19.88769	20.13022	19.88769	19.88769	b'GALAXY'
20.30021	20.22967	20.81198	19.3498	19.69535	19.95474	19.69535	19.69535	b'GALAXY'
18.89017	18.73074	19.36432	17.59486	17.50604	17.88786	17.50603	17.50604	b'GALAXY'
22.00266	22.14646	22.67989	21.83319	21.73411	21.76592	21.73404	21.73411	b'GALAXY'
21.89292	22.16838	22.63108	22.26768	21.91085	21.91086	21.91085	21.91085	b'GALAXY'
21.92012	21.98852	22.57197	21.12383	21.02612	21.18188	21.02609	21.02612	b'GALAXY'
21.1694	21.2136	21.79793	20.61107	20.52939	20.71991	20.52939	20.55188	b'GALAXY'
21.26867	21.507	22.02708	20.9513	21.12483	21.18597	21.12483	21.12483	b'GALAXY'
18.73129	18.70208	19.31452	17.61779	17.61139	17.95581	17.61139	17.61139	b'GALAXY'
